204	papryka ostra	22	1/2 łyżeczki ostrej papryki	3
205	cynamon	22	1/3 łyżeczki cynamonu	2
206	kmin rzymski	22	1/3 łyżeczki kminu rzymskiego	2
207	boczek surowy	23	600 g surowego boczku bez skóry	600
208	czosnek	23	1 ząbek czosnku	5
209	woda	23	2 łyżki wody	20
210	sól	23	1/2 łyżeczki soli	3
211	majeranek	23	1/2 łyżeczki majeranku	3
212	liść laurowy	23	1 listek laurowy	0.2
213	pieprz	23	1/2 łyżeczki pieprzu	3
214	łopatka wieprzowa	24	500 g łopatki wieprzowej	500
215	kajzerka	24	pół czerstwej kajzerki	25
216	jajko	24	1 średnie lub małe jajko	50
217	cebula	24	1 cebula	180
218	czosnek	24	1 ząbek czosnku	5
219	bułka tarta	24	2 łyżki bułki tartej	20
220	majeranek	24	łyżka majeranku	10
221	sól	24	łyżeczka soli	6
222	pieprz	24	1/2 łyżeczki pieprzu	3
223	bułka tarta	24	2 łyżki bułki tartej	20
224	olej	24	3 łyżki oleju	30
225	wołowina	25	500 g wołowiny	500
226	woda	25	1 szklanka wody	250
227	cebula	25	1 średnia cebula	150
228	olej	25	1 łyżka oleju	10
229	czosnek	25	2 ząbki czosnku	10
230	mąka pszenna	25	1/2 łyżki mąki pszennej	5
231	liść laurowy	25	2 listki laurowe	0.4
232	ziele angielskie	25	2 ziarna angielskie	1
233	sól	25	1/2 łyżeczki soli	3
234	pieprz	25	1/2 łyżeczki pieprzu	3
235	łopatka wieprzowa	26	500g łopatki wieprzowej	500
236	papryka czerwona	26	1 średnia czerwona papryka	250
237	marchew	26	1 duża marchewki	150
238	cebula	26	1,5 średniej cebuli	150
239	czosnek	26	2 ząbki czosnku	10
240	olej	26	4 łyżki oleju	40
241	bulion	26	1 szklanka bulionu	250
242	koncentrat pomidorowy	26	1,5 łyżki koncetratu pomidorowego	15
243	papryka słodka	26	1 łyżka słodkiej papryki	10
244	sól	26	1/2 łyżeczki soli	3
245	pieprz	26	1/2 łyżeczki pieprzu	3
246	kurczak	27	350g mięsa z kurczaka	350
247	marchew	27	1 marchewka	100
248	pietruszka	27	1 mała pietruszka	140
249	bulion	27	2 szklanki bulionu	500
250	groch	27	75 g mrożonego groszku	75
251	mąka pszenna	27	1 łyżka mąki pszennej	10
252	masło klarowane	27	1 łyżka masła klarowanego	10
253	sól	27	1 łyżka soli	10
254	pieprz	27	1 łyżka pieprzu	10
255	makaron spaghetti	28	300 g suchego makaronu spaghetti	300
256	boczek surowy wedzony	28	200 g surowy boczek	200
257	jajko	28	6 żółtek dużych jajek lub 4 żółtka i dwa całe jajka	420
258	ser owczy	28	70 g sera owczego Pecorino Romano lub Parmigiano Reggiano	70
259	pieprz	28	1,5 łyżki pieprzu	15
260	schab	29	500g schabu środkowego lub od karku	500
261	śliwka suszona	29	do 100 g suszonych śliwek	100
262	czosnek	29	2 ząbki czosnku	10
263	olej	29	1 łyżka oleju	10
264	woda	29	80ml wody	80
265	majeranek	29	1/2 łyżki majeranku	5
266	sól	29	1/2 łyżeczki soli	3
267	pieprz	29	1/2 łyżeczki pieprzu	3
268	pieprz ziołowy	29	1/2 pieprzu ziołowego	3
269	pierś z kurczaka	30	1 pierś z kurczaka (dwa filety)	650
270	skrobia ziemniaczana	30	4 łyżki skrobi ziemniaczanej	40
271	jajko	30	3 żółtka jajek	60
272	olej	30	5 łyżek oleju	50
273	jogurt naturalny	30	2 łyżki jogurtu naturalnego	20
274	czosnek	30	2 ząbki czosnku	10
275	papryka słodka	30	łyżeczka słodkiej papryki	6
276	sól	30	łyżeczka soli	6
277	pieprz	30	łyżka pieprzu	10
278	chili	30	łyżka chili	10
279	łopatka wieprzowa	31	300 g mielonej łopatki wieprzowej	300
280	cebula	31	1 cebula	160
281	pieczarka	31	2 duże pieczarki	120
282	czosnek	31	2 ząbki czosnku	10
283	olej	31	1,5 łyżki oleju	15
284	papryka słodka	31	1/2 łyżeczki słodkiej papryki	3
285	sól	31	1/2 łyżeczki soli	3
286	chili	31	1/3 łyżeczki chili	2
287	pieprz	31	1/3 łyżeczki pieprzu	2
288	makaron	31	200 g suchego makaronu	200
289	pomidor	31	2 duże pomidory malinowe	400
290	ser żółty	31	200 g żółtego sera	200
291	natka pietruszki	31	połowa małego pęczka natki pietruszki	30
292	schab	32	400 g schabu	400
293	jajko	32	1 średnie jajko	55
294	majonez	32	1 łyżka majonezu	10
295	koper	32	łyżka siekanego koperku	10
296	natka pietruszki	32	łyżka natki pietruszki	10
297	sok z cytryny	32	łyżka soku z cytryny	10
298	sól	32	1/2 łyżeczki soli	3
299	pieprz	32	1/3 łyżeczki pieprzu	2
300	bułka tarta	32	4 łyżki bułki tartej	40
301	olej	32	5 łyżek oleju	50
302	schab	33	750g schabu środkowego bez kości	750
303	sól	33	1 łyżka soli	10
304	majeranek	33	2 łyżki majeranku	20
305	czosnek	33	3 ząbki czosnku	15
306	pieprz ziołowy	33	1/2 łyżeczki pieprzu ziołowego	3
307	pieprz	33	1/2 łyżeczki pieprzu	3
308	olej	33	1 łyżka oleju	10
309	ziemniak	34	1 kg ziemniaków	1000
310	cebula	34	2,5 średniej cebuli	250
311	boczek surowy	34	200 g boczku surowego wędzonego	200
312	ser żółty	34	50 g żółtego sera	50
313	ser cheddar	34	25 g sera cheddar	25
314	śmietana 30%	34	75 g śmietanki 30 %	75
315	jajko	34	1 duże jajko	60
316	olej	34	1,5 łyżki oleju	15
317	gałka muszkatołowa	34	1/2 łyżki gałki muszkatołowej	5
318	sól	34	1/2 łyżki soli	5
319	papryka słodka	34	1/2 łyżki słodkiej papryki	5
320	pieprz	34	1/2 łyżeczki pieprzu	3
321	boczek surowy	35	600g surowego boczku	600
322	majeranek	35	1/2 łyżki majeranku	5
323	czosnek	35	2 ząbki czosnku	10
324	śliwka suszona	35	2 małe suszone śliwki	12
325	gorczyca	35	1/3 łyżeczki gorczycy	2
326	kolendra	35	1/3 łyżeczki kolendry	2
327	papryka słodka	35	1/3 łyzeczki słodkiej papryki	2
328	kminek	35	1/3 łyżeczki kminku	2
329	chili	35	1/3 łyżeczki chili	2
330	kacza noga	36	2 kacze nogi/udka - 0,5 kg	500
331	Vegeta Natur	36	pół opakowania Vegeta Natur	70
332	ananas	36	2 plastry ananasa z puszki	60
333	żurawina	36	garść żurawiny	60
334	miód	36	1/2 łyżki miodu	5
335	pomidor	37	500 g świeżych pomidorów	500
336	jajko	37	3 średnie lub duże jajka	160
337	oliwa	37	2 łyżki oliwy	20
338	cebula	37	1 mała cebula	80
339	czosnek	37	2 ząbki czosnku	10
340	papryka słodka	37	1/3 łyżeczki słodkiej papryki	2
341	pieprz cayenne	37	łyżeczka pieprzu cayenne	6
342	gałka muszkatołowa	37	łyżeczka gałki muszkatołowej	6
343	kminek	37	łyżeczka kminku	6
344	kolendra i szczypior	37	świeża kolendra i szczypior	12
345	twaróg tłusty	38	300 g twarogu tłustego	300
346	śmietana 18%	38	100 g śmietany kwaśnej 18 %	100
347	cebula	38	ćwierć małej cebula 	40
348	sól	38	1 łyżeczka soli	6
349	pieprz	38	1/3 łyżeczki pieprzu	2
350	cukier	38	łyżeczka cukru	6
351	ziemniak	39	0,5 kg ziemniaków	500
352	mąka pszenna	39	pół szklanki mąki pszennej	125
353	jajko	39	1 jajko	55
354	sól	39	1 łyżeczka soli	6
355	marchew	40	0,5 kg marchewki	500
356	groch	40	połowa puszki groszku	200
357	masło	40	1 łyżka masła	10
358	mąka pszenna	40	pół łyżki mąki pszennej	5
359	woda	40	pół szklanki wody	125
360	sól	40	½ łyżeczki soli	3
361	cukier	40	½ łyżeczki cukru	3
362	cukinia	41	2 średnie cukinie	680
363	czosnek	41	3 ząbki czosnku	15
364	oliwa	41	3 łyżki oliwy	30
365	parmezan	41	50 g sera typu parmezan	50
366	natka pietruszki	41	garść natki pietruszki	40
367	sól	41	1/2 łyżeczki soli	3
368	pieprz	41	1/3 łyżeczki pieprzu	2
369	bazylia	42	pęczek bazylii	60
370	orzeszki piniowe	42	garść orzeszków piniowych	50
371	parmezan	42	kawałek sera parmezan	50
372	oliwa	42	¼ szklanki oliwy	60
373	czosnek	42	2 ząbki czosnku	10
374	sól	42	1/2 łyżeczki soli	3
375	pieprz	42	1/2 łyżeczki pieprzu	2
376	ziemniak	43	0,5 kg ziemniaków	500
377	olej	43	500 ml oleju	500
378	sól	43	łyżeczka soli	6
379	ziemniak	44	1 kg obranych ziemniaków	1000
380	jajko	44	2 średnie lub małe jajka	110
381	cebula	44	mała cebula	120
382	mąka pszenna	44	2 łyżki mąki pszennej	20
